customerID,Churn,customer.gender,account.Contract,account.PaymentMethod,account.Charges.Monthly
0106-UGRDO,No,Female,Two year,Electronic check,116.0
0107-WESLM,Yes,Male,Month-to-month,Electronic check,19.85
0107-YHINA,Yes,Male,Month-to-month,Electronic check,99.75
0111-KLBQG,No,Male,Month-to-month,Mailed check,93.95
0112-QAWRZ,No,Male,Month-to-month,Bank transfer (automatic),90.8
0112-QWPNC,Yes,Male,One year,Electronic check,84.35
0114-IGABW,No,Female,Two year,Bank transfer (automatic),58.25
0114-PEGZZ,No,Female,Month-to-month,Electronic check,107.55
0114-RSRRW,No,Female,Month-to-month,Bank transfer (automatic),19.95
0115-TFERT,Yes,Male,Month-to-month,Electronic check,111.2
0117-LFRMW,Yes,Male,Month-to-month,Bank transfer (automatic),40.2
0118-JPNOY,No,Female,Month-to-month,Credit card (automatic),85.8
0120-YZLQA,,Male,Two year,Credit card (automatic),19.9
0121-SNYRK,No,Male,One year,Mailed check,35.4
0122-OAHPZ,Yes,Female,Month-to-month,Electronic check,73.85
0123-CRBRT,No,Female,Two year,Mailed check,88.1
0125-LZQXK,Yes,Male,Month-to-month,Electronic check,101.35
0128-MKWSG,No,Female,Month-to-month,Mailed check,45.8
0129-KPTWJ,No,Male,Month-to-month,Electronic check,94.65
0129-QMPDR,No,Male,One year,Bank transfer (automatic),20.5
0130-SXOUN,No,Male,Month-to-month,Credit card (automatic),89.4
0133-BMFZO,Yes,Female,Month-to-month,Electronic check,86.25
0134-XWXCE,No,Female,One year,Bank transfer (automatic),74.85
0135-NMXAP,Yes,Female,Month-to-month,Bank transfer (automatic),89.75
0136-IFMYD,No,Male,Two year,Electronic check,109.95
0137-OCGAB,Yes,Female,Month-to-month,Mailed check,80.2
0137-UDEUO,Yes,Female,Month-to-month,Mailed check,19.85
0139-IVFJG,No,Female,Month-to-month,Electronic check,90.35
0141-YEAYS,No,Female,Month-to-month,Bank transfer (automatic),86.45
0142-GVYSN,No,Male,Month-to-month,Electronic check,20.3
0147-ESWWR,No,Female,Month-to-month,Electronic check,101.25
0148-DCDOS,Yes,Male,Month-to-month,Bank transfer (automatic),94.7
0151-ONTOV,Yes,Female,Month-to-month,Mailed check,70.9
0154-QYHJU,,Male,One year,Electronic check,58.75
0156-FVPTA,Yes,Male,Month-to-month,Electronic check,54.2
0162-RZGMZ,,Female,Month-to-month,Credit card (automatic),59.9
0164-APGRB,No,Female,Two year,Electronic check,114.9
0164-XAIRP,No,Female,Two year,Bank transfer (automatic),19.55
0168-XZKBB,No,Female,Month-to-month,Electronic check,86.85
0174-QRVVY,No,Male,Two year,Credit card (automatic),25.35
0177-PXBAT,No,Male,Month-to-month,Bank transfer (automatic),109.9
0178-CIIKR,No,Female,Month-to-month,Mailed check,19.95
0178-SZBHO,No,Male,Month-to-month,Electronic check,87.2
0181-RITDD,No,Male,Two year,Mailed check,108.15
0186-CAERR,No,Male,One year,Bank transfer (automatic),116.3
0187-QSXOE,No,Male,Month-to-month,Electronic check,89.0
0187-WZNAB,No,Female,Month-to-month,Mailed check,74.4
0188-GWFLE,No,Male,Month-to-month,Mailed check,20.05
0191-EQUUH,No,Female,Two year,Bank transfer (automatic),35.05
0191-ZHSKZ,No,Male,Month-to-month,Electronic check,74.75
0193-ESZXP,Yes,Female,One year,Credit card (automatic),105.5
0195-IESCP,Yes,Male,Month-to-month,Electronic check,85.25
0196-JTUQI,No,Female,Month-to-month,Credit card (automatic),75.2
0196-VULGZ,Yes,Female,Month-to-month,Electronic check,84.35
0197-PNKNK,No,Female,One year,Bank transfer (automatic),84.45
0201-MIBOL,No,Female,Two year,Bank transfer (automatic),102.4
0201-OAMXR,Yes,Female,One year,Credit card (automatic),115.55
0203-HHYIJ,Yes,Male,One year,Bank transfer (automatic),25.3
0206-OYVOC,No,Female,Two year,Mailed check,19.25
0206-TBWLC,No,Female,One year,Mailed check,114.65
0207-MDKNV,Yes,Female,Month-to-month,Electronic check,105.1
0208-BPQEJ,No,Female,Month-to-month,Bank transfer (automatic),19.4
0212-ISBBF,No,Female,Month-to-month,Electronic check,50.35
0214-JHPFW,No,Female,Two year,Bank transfer (automatic),57.8
0215-BQKGS,No,Male,Month-to-month,Credit card (automatic),84.3
0218-QNVAS,No,Male,One year,Bank transfer (automatic),100.55
0219-QAERP,No,Male,One year,Credit card (automatic),19.8
0219-YTZUE,Yes,Male,Month-to-month,Bank transfer (automatic),84.8
0220-EBGCE,Yes,Male,Month-to-month,Electronic check,85.85
0221-NAUXK,No,Male,One year,Bank transfer (automatic),19.95
0221-WMXNQ,No,Male,Month-to-month,Electronic check,75.35
0222-CNVPT,No,Male,Month-to-month,Credit card (automatic),48.8
0224-HJAPT,Yes,Male,Month-to-month,Electronic check,47.15
0224-NIJLP,No,Male,Two year,Mailed check,20.15
0224-RLWWD,No,Female,Month-to-month,Electronic check,44.3
0225-ZORZP,No,Male,Month-to-month,Electronic check,84.3
0228-MAUWC,No,Male,Month-to-month,Electronic check,59.55
0229-LFJAF,No,Male,Two year,Bank transfer (automatic),69.65
0230-UBYPQ,No,Male,One year,Bank transfer (automatic),36.1
0230-WEQUW,No,Male,Two year,Bank transfer (automatic),56.6
0231-LXVAP,Yes,Male,Month-to-month,Electronic check,75.9
0233-FTHAV,No,Female,One year,Bank transfer (automatic),79.2
0234-TEVTT,No,Female,One year,Credit card (automatic),45.0
0235-KGSLC,Yes,Female,Month-to-month,Credit card (automatic),85.55
0236-HFWSV,Yes,Male,Month-to-month,Electronic check,93.35
0237-YFUTL,No,Female,Month-to-month,Bank transfer (automatic),109.65
0238-WHBIQ,No,Male,Two year,Credit card (automatic),89.7
0239-OXEXL,No,Female,Month-to-month,Mailed check,84.25
0244-LGNFY,No,Female,Two year,Bank transfer (automatic),92.65
0247-SLUJI,No,Male,Month-to-month,Mailed check,19.7
0248-IPDFW,No,Female,Month-to-month,Electronic check,50.1
0248-PGHBZ,No,Female,Two year,Bank transfer (automatic),92.45
0253-ZTEOB,No,Female,Two year,Electronic check,79.65
0254-FNMCI,No,Female,Two year,Electronic check,109.9
0254-KCJGT,No,Male,One year,Credit card (automatic),81.4
0254-WWRKD,No,Female,One year,Credit card (automatic),50.55
0256-LTHVJ,Yes,Female,Month-to-month,Electronic check,81.05
0257-KXZGU,No,Female,Month-to-month,Bank transfer (automatic),62.45
0257-ZESQC,Yes,Female,Month-to-month,Bank transfer (automatic),75.2
0258-NOKBL,No,Male,Month-to-month,Electronic check,90.4
0259-GBZSH,Yes,Male,Month-to-month,Electronic check,85.65
0260-ZDLGK,Yes,Female,Month-to-month,Mailed check,72.9
0263-FJTQO,No,Male,Two year,Credit card (automatic),70.5
0264-CNITK,No,Female,Two year,Bank transfer (automatic),20.1
0265-EDXBD,Yes,Male,Month-to-month,Electronic check,74.9
0265-PSUAE,No,Female,Month-to-month,Bank transfer (automatic),100.7
0266-CLZKZ,No,Female,Two year,Bank transfer (automatic),105.65
0266-GMEAO,No,Male,Two year,Credit card (automatic),114.3
0268-QKIWO,Yes,Female,Month-to-month,Electronic check,19.75
0269-XFESX,No,Male,One year,Mailed check,24.35
0270-THENM,No,Male,Two year,Bank transfer (automatic),69.85
0274-JKUJR,No,Male,Month-to-month,Mailed check,58.85
0274-VVQOQ,,Male,One year,Bank transfer (automatic),103.15
0277-BKSQP,No,Male,Month-to-month,Electronic check,54.4
0277-ORXQS,No,Male,Two year,Bank transfer (automatic),50.55
0278-YXOOG,Yes,Male,Month-to-month,Mailed check,21.05
0280-XJGEX,Yes,Male,Month-to-month,Bank transfer (automatic),103.7
0281-CNTZX,No,Male,Two year,Bank transfer (automatic),19.95
0282-NVSJS,No,Female,Month-to-month,Mailed check,29.3
0285-INHLN,No,Male,Month-to-month,Credit card (automatic),54.75
0289-IVARM,No,Female,Month-to-month,Electronic check,60.55
0292-WEGCH,No,Female,Month-to-month,Electronic check,86.2
0295-PPHDO,Yes,Male,Month-to-month,Electronic check,95.45
0295-QVKPB,No,Male,Month-to-month,Credit card (automatic),63.95
0297-RBCSG,No,Male,One year,Bank transfer (automatic),65.35
0298-XACET,No,Male,Two year,Mailed check,50.2
0301-FIDRB,No,Female,Two year,Bank transfer (automatic),63.8
0301-KOBTQ,No,Male,Two year,Bank transfer (automatic),20.05
0302-JOIVN,Yes,Female,Month-to-month,Electronic check,101.15
0303-UNCIP,No,Male,One year,Mailed check,65.0
0303-WMMRN,No,Male,Month-to-month,Mailed check,19.25
0305-SQECB,No,Female,One year,Mailed check,36.05
0306-JAELE,Yes,Male,Month-to-month,Electronic check,96.1
0307-BCOPK,No,Female,One year,Mailed check,19.05
0308-GIQJT,No,Male,One year,Bank transfer (automatic),105.75
0308-IVGOK,No,Female,One year,Credit card (automatic),40.4
0310-MVLET,Yes,Female,Month-to-month,Electronic check,99.15
0310-SUCIN,No,Female,One year,Bank transfer (automatic),84.8
0310-VQXAM,No,Male,Month-to-month,Mailed check,19.85
0311-QYWSS,No,Female,Month-to-month,Electronic check,49.45
0311-UNPFF,Yes,Female,Month-to-month,Bank transfer (automatic),88.8
0314-TKOSI,No,Female,Month-to-month,Mailed check,55.15
0315-LVCRK,No,Male,Month-to-month,Electronic check,84.8
0318-QUUOB,Yes,Male,Month-to-month,Electronic check,80.55
0318-ZOPWS,No,Female,Two year,Bank transfer (automatic),20.15
0319-QZTCO,No,Female,Month-to-month,Credit card (automatic),58.7
0320-DWVTU,No,Female,Two year,Mailed check,99.5
0320-JDNQG,Yes,Male,Month-to-month,Electronic check,99.85
0322-CHQRU,Yes,Male,Month-to-month,Electronic check,45.35
0322-YINQP,Yes,Male,Month-to-month,Mailed check,48.55
0323-XWWTN,No,Male,Two year,Mailed check,26.4
0324-BRPCJ,Yes,Female,Month-to-month,Electronic check,100.2
0325-XBFAC,Yes,Male,Month-to-month,Electronic check,94.7
0326-VDYXE,No,Female,One year,Electronic check,97.65
0327-WFZSY,No,Male,One year,Electronic check,100.0
0328-GRPMV,Yes,Female,Month-to-month,Electronic check,70.1
0328-IBUPK,,Female,Two year,Bank transfer (automatic),34.2
0329-GTIAJ,Yes,Female,Month-to-month,Electronic check,97.9
0330-BGYZE,No,Male,One year,Bank transfer (automatic),102.5
0330-IVZHA,Yes,Female,Month-to-month,Electronic check,69.95
0334-GDDSO,Yes,Male,Month-to-month,Electronic check,81.35
0334-ZFJSR,No,Female,One year,Credit card (automatic),66.05
0336-KXKFK,No,Male,Two year,Credit card (automatic),61.2
0336-PIKEI,No,Male,Two year,Bank transfer (automatic),74.4
0337-CNPZE,Yes,Female,Month-to-month,Electronic check,106.3
0343-QLUZP,No,Male,Two year,Bank transfer (automatic),39.6
0345-HKJVM,Yes,Female,Month-to-month,Electronic check,89.3
0345-XMMUG,No,Female,Two year,Credit card (automatic),108.9
0347-UBKUZ,No,Female,Month-to-month,Mailed check,19.9
0348-SDKOL,Yes,Female,Month-to-month,Credit card (automatic),102.1
0354-VXMJC,No,Male,Two year,Credit card (automatic),19.6
0354-WYROK,Yes,Female,Month-to-month,Electronic check,98.9
0356-ERHVT,No,Male,Month-to-month,Bank transfer (automatic),45.9
0356-OBMAC,No,Female,Two year,Bank transfer (automatic),99.9
0357-NVCRI,No,Female,Month-to-month,Credit card (automatic),20.05
0361-HJRDX,No,Female,Two year,Credit card (automatic),64.35
0362-RAOQO,No,Female,Two year,Credit card (automatic),19.65
0362-ZBZWJ,Yes,Male,Month-to-month,Electronic check,84.9
0363-QJVFX,Yes,Male,Month-to-month,Credit card (automatic),108.15
0363-SVHYR,No,Male,Two year,Bank transfer (automatic),86.85
0365-BZUWY,No,Male,Month-to-month,Electronic check,102.55
0365-GXEZS,No,Male,Month-to-month,Electronic check,78.2
0365-TRTPY,No,Female,Month-to-month,Bank transfer (automatic),91.2
0366-NQSHS,No,Male,Month-to-month,Mailed check,19.35
0369-ZGOVK,No,Female,One year,Bank transfer (automatic),70.4
0373-AIVNJ,No,Male,One year,Mailed check,39.55
0374-AACSZ,No,Female,Month-to-month,Electronic check,50.15
0374-FIUCA,No,Male,Two year,Credit card (automatic),20.4
0374-IOEGQ,No,Female,Month-to-month,Electronic check,44.6
0375-HVGXO,Yes,Female,Month-to-month,Electronic check,34.7
0376-OIWME,No,Male,Month-to-month,Electronic check,93.6
0376-YMCJC,Yes,Male,Month-to-month,Electronic check,90.6
0377-JBKKT,No,Male,Month-to-month,Mailed check,57.95
0378-CJKPV,No,Female,Two year,Credit card (automatic),112.1
0378-NHQXU,Yes,Female,Month-to-month,Electronic check,88.25
0378-TOVMS,Yes,Female,Month-to-month,Electronic check,85.8
0378-XSZPU,Yes,Male,One year,Credit card (automatic),60.3
0379-DJQHR,No,Male,Two year,Credit card (automatic),81.35
0380-NEAVX,No,Male,One year,Electronic check,99.85
0380-ZCSBI,No,Male,Month-to-month,Credit card (automatic),20.0
0383-CLDDA,No,Female,Two year,Credit card (automatic),85.35
0384-LPITE,No,Male,One year,Credit card (automatic),62.05
0384-RVBPI,No,Male,Month-to-month,Credit card (automatic),64.4
0386-CWRGM,No,Female,Two year,Mailed check,19.4
0388-EOPEX,Yes,Female,Month-to-month,Electronic check,74.4
0390-DCFDQ,Yes,Female,Month-to-month,Mailed check,70.45
0392-BZIUW,No,Female,Two year,Credit card (automatic),105.0
0394-YONDK,No,Male,Two year,Credit card (automatic),25.15
0396-HUJBP,No,Female,Month-to-month,Mailed check,19.3
0396-UKGAI,No,Male,Month-to-month,Bank transfer (automatic),55.3
0396-YCHWO,No,Male,Month-to-month,Electronic check,95.4
0397-GZBBC,Yes,Male,Month-to-month,Bank transfer (automatic),93.85
0397-ZXWQF,No,Male,Two year,Bank transfer (automatic),20.5
0401-WDBXM,No,Male,Two year,Bank transfer (automatic),105.55
0402-CQAJN,Yes,Female,Month-to-month,Bank transfer (automatic),101.9
0402-OAMEN,No,Female,Two year,Bank transfer (automatic),24.45
0404-AHASP,No,Male,Two year,Credit card (automatic),19.7
0404-SWRVG,Yes,Male,Month-to-month,Electronic check,74.4
0406-BPDVR,Yes,Female,One year,Credit card (automatic),101.5
0407-BDJKB,Yes,Male,Month-to-month,Electronic check,95.75
0409-WTMPL,No,Female,One year,Credit card (automatic),110.65
0410-IPFTY,No,Female,Month-to-month,Bank transfer (automatic),83.85
0411-EZJZE,No,Female,Month-to-month,Electronic check,60.25
0412-UCCNP,No,Male,Two year,Electronic check,59.2
0415-MOSGF,Yes,Female,Month-to-month,Mailed check,44.4
0419-YAAPX,No,Male,Month-to-month,Credit card (automatic),85.3
0420-BWTPW,Yes,Male,Month-to-month,Mailed check,25.5
0420-HLGXF,No,Female,Month-to-month,Electronic check,99.75
0420-TXVSG,No,Male,Two year,Credit card (automatic),66.1
0422-OHQHQ,No,Female,One year,Mailed check,20.55
0422-UXFAP,No,Female,One year,Electronic check,98.85
0423-UDIJQ,No,Male,Month-to-month,Mailed check,49.2
0426-TIRNE,Yes,Female,Month-to-month,Mailed check,20.9
0428-AXXLJ,No,Male,One year,Bank transfer (automatic),19.5
0428-IKYCP,No,Male,Month-to-month,Bank transfer (automatic),87.0
0430-IHCDJ,No,Male,Month-to-month,Electronic check,49.0
0431-APWVY,Yes,Female,One year,Bank transfer (automatic),90.1
0432-CAJZV,No,Male,Month-to-month,Mailed check,90.7
0434-CSFON,No,Female,Month-to-month,Electronic check,100.5
0436-TWFFZ,No,Female,Two year,Mailed check,85.25
0439-IFYUN,No,Female,Month-to-month,Electronic check,74.7
0440-EKDCF,No,Male,Two year,Credit card (automatic),60.15
0440-MOGPM,No,Female,One year,Electronic check,80.55
0440-QEXBZ,No,Female,Month-to-month,Mailed check,50.15
0440-UEDAI,No,Female,One year,Credit card (automatic),94.45
0442-TDYUO,No,Male,Two year,Mailed check,20.05
0442-ZXKVS,No,Female,One year,Bank transfer (automatic),115.6
0447-BEMNG,Yes,Female,Month-to-month,Bank transfer (automatic),45.3
0447-RXSGD,No,Male,Month-to-month,Bank transfer (automatic),99.65
0448-YZNZE,,Male,Month-to-month,Electronic check,95.55
0454-OKRCT,No,Male,Two year,Bank transfer (automatic),80.6
0455-ENTCR,No,Male,Two year,Electronic check,85.25
0455-XFASS,No,Female,Month-to-month,Electronic check,69.55
0458-HEUZG,No,Female,Two year,Mailed check,35.4
0459-SPZHJ,No,Male,Two year,Credit card (automatic),83.5
0461-CVKMU,Yes,Female,Month-to-month,Electronic check,83.8
0463-TXOAK,No,Male,Two year,Credit card (automatic),25.6
0463-WZZKO,No,Male,Month-to-month,Credit card (automatic),20.75
0463-ZSDNT,No,Male,Month-to-month,Bank transfer (automatic),56.75
0464-WJTKO,No,Female,Two year,Bank transfer (automatic),20.1
0468-YRPXN,No,Male,Month-to-month,Credit card (automatic),98.8
0471-ARVMX,No,Female,One year,Electronic check,104.85
0471-LVHGK,Yes,Male,One year,Electronic check,73.0
0475-RIJEP,Yes,Male,Month-to-month,Electronic check,77.85
0479-HMSWA,No,Female,Two year,Electronic check,105.45
0480-BIXDE,No,Female,Month-to-month,Electronic check,96.8
0480-KYJVA,No,Female,Two year,Credit card (automatic),24.25
0481-SUMCB,No,Female,One year,Bank transfer (automatic),102.15
0484-FFVBJ,No,Male,One year,Bank transfer (automatic),64.85
0484-JPBRU,No,Male,Month-to-month,Bank transfer (automatic),25.25
0485-ZBSLN,No,Male,Two year,Credit card (automatic),24.75
0486-HECZI,Yes,Male,Month-to-month,Electronic check,96.75
0486-LGCCH,No,Male,Two year,Mailed check,19.65
0487-CRLZF,No,Female,Two year,Bank transfer (automatic),74.45
0487-RPVUM,No,Male,Month-to-month,Bank transfer (automatic),99.4
0487-VVUVK,No,Male,Month-to-month,Mailed check,19.15
0488-GSLFR,Yes,Female,Month-to-month,Electronic check,69.5
0489-WMEMG,No,Female,One year,Electronic check,49.45
0491-KAPQG,No,Male,Month-to-month,Electronic check,73.7
0495-RVCBF,Yes,Female,Month-to-month,Electronic check,79.7
0495-ZBNGW,Yes,Male,Month-to-month,Bank transfer (automatic),79.9
0496-AHOOK,No,Male,One year,Bank transfer (automatic),74.4
0504-HHAPI,Yes,Female,Month-to-month,Credit card (automatic),88.3
0505-SPOOW,No,Female,Two year,Bank transfer (automatic),19.8
0506-LVNGN,Yes,Female,Month-to-month,Credit card (automatic),75.55
0506-YLVKJ,No,Male,Two year,Mailed check,20.2
0508-OOLTO,No,Female,Month-to-month,Electronic check,71.65
0508-SQWPL,No,Female,Two year,Bank transfer (automatic),20.1
0510-EXSMQ,,Female,Month-to-month,Electronic check,69.05
0511-JTEOY,Yes,Female,Month-to-month,Mailed check,71.1
0512-FLFDW,No,Female,One year,Credit card (automatic),100.5
0513-RBGPE,No,Male,Two year,Credit card (automatic),62.8
0515-YPMCW,Yes,Male,Month-to-month,Mailed check,70.45
0516-OOHAR,No,Male,One year,Bank transfer (automatic),100.35
0516-QREYC,No,Female,Month-to-month,Mailed check,20.3
0516-UXRMT,No,Female,One year,Electronic check,92.05
0516-VRYBW,Yes,Female,One year,Bank transfer (automatic),20.15
0516-WJVXC,Yes,Female,Month-to-month,Electronic check,54.2
0519-DRGTI,No,Female,Month-to-month,Mailed check,20.35
0519-XUZJU,Yes,Female,Month-to-month,Mailed check,70.75
0520-FDVVT,Yes,Male,One year,Bank transfer (automatic),102.35
0523-VNGTF,No,Female,Month-to-month,Electronic check,50.5
0524-IAVZO,Yes,Female,Month-to-month,Electronic check,85.0
0526-SXDJP,No,Male,Two year,Bank transfer (automatic),42.1
0529-ONKER,Yes,Male,Month-to-month,Electronic check,75.65
0530-HBKHZ,,Female,Month-to-month,Electronic check,24.8
0530-IJVDB,No,Male,Two year,Electronic check,114.6
0531-XBKMM,No,Male,Two year,Bank transfer (automatic),65.7
0531-ZZJWQ,No,Male,Month-to-month,Electronic check,74.0
0533-BNWKF,Yes,Female,Month-to-month,Electronic check,85.45
0533-UCAAU,No,Male,One year,Credit card (automatic),71.1
0534-JRNIG,,Female,Month-to-month,Bank transfer (automatic),93.55
0536-ACXIP,No,Female,Two year,Electronic check,109.55
0536-BGFMZ,No,Female,Month-to-month,Mailed check,20.5
0536-ESJEP,No,Male,Two year,Bank transfer (automatic),74.55
0537-QYZZN,No,Male,Month-to-month,Electronic check,79.85
0541-FITGH,No,Female,Month-to-month,Mailed check,62.15
0542-YUDZL,,Female,Month-to-month,Mailed check,25.55
0547-HURJB,No,Male,Month-to-month,Credit card (automatic),21.05
0548-BCTNE,,Male,One year,Credit card (automatic),106.1
0549-CYCQN,No,Male,One year,Bank transfer (automatic),79.6
0550-DCXLH,No,Male,Month-to-month,Mailed check,73.35
0556-FJEGU,No,Male,Two year,Bank transfer (automatic),70.1
0557-ASKVU,No,Female,One year,Credit card (automatic),54.4
0559-CKHUS,No,Female,Two year,Mailed check,19.55
0562-FGDCR,No,Female,Two year,Mailed check,74.55
0562-HKHML,No,Male,Two year,Credit card (automatic),23.9
0562-KBDVM,No,Female,Two year,Bank transfer (automatic),44.6
0564-JJHGS,Yes,Male,Month-to-month,Electronic check,95.5
0564-MUUQK,No,Female,Month-to-month,Bank transfer (automatic),95.5
0565-IYCGT,Yes,Male,One year,Credit card (automatic),78.6
0565-JUPYD,No,Male,One year,Credit card (automatic),104.5
0567-DLARH,,Female,Month-to-month,Credit card (automatic),51.2
0567-GGCAC,No,Female,Month-to-month,Electronic check,61.4
0567-XRHCU,No,Female,Two year,Credit card (automatic),43.95
0568-ONFPC,Yes,Male,Month-to-month,Bank transfer (automatic),25.9
0570-BFQHT,No,Female,Month-to-month,Electronic check,80.55
0572-ZJKLT,No,Female,Two year,Mailed check,99.65
0575-CUQOV,No,Male,One year,Electronic check,97.95
0576-WNXXC,Yes,Male,Month-to-month,Electronic check,95.55
0577-WHMEV,No,Female,Month-to-month,Electronic check,90.7
0578-SKVMF,Yes,Female,Month-to-month,Electronic check,83.3
0580-PIQHM,No,Female,One year,Bank transfer (automatic),101.6
0581-BXBUB,No,Female,Month-to-month,Electronic check,72.75
0581-MDMPW,No,Female,Month-to-month,Credit card (automatic),88.95
0582-AVCLN,No,Female,Two year,Mailed check,20.3
0584-BJQGZ,No,Female,Month-to-month,Bank transfer (automatic),78.35
0585-EGDDA,No,Male,Month-to-month,Electronic check,80.0
0587-DMGBH,Yes,Female,Month-to-month,Electronic check,49.85
0594-UFTUL,No,Male,Month-to-month,Mailed check,19.85
0595-ITUDF,No,Male,Month-to-month,Electronic check,91.8
0596-BQCEQ,Yes,Female,Month-to-month,Electronic check,100.15
0599-XNYDO,No,Female,Month-to-month,Bank transfer (automatic),69.8
0601-WZHJF,Yes,Male,Month-to-month,Electronic check,46.35
0602-DDUML,No,Female,Two year,Mailed check,69.75
0603-OLQDC,No,Male,Month-to-month,Mailed check,69.85
0603-TPMIB,No,Female,Two year,Mailed check,25.45
0604-THJFP,No,Female,Two year,Credit card (automatic),75.95
0607-DAAHE,Yes,Male,Two year,Bank transfer (automatic),19.75
0607-MVMGC,No,Male,One year,Credit card (automatic),78.75
0608-JDVEC,No,Male,Two year,Electronic check,19.8
0611-DFXKO,Yes,Male,Month-to-month,Mailed check,89.0
0612-RTZZA,Yes,Female,Month-to-month,Electronic check,25.25
0613-WUXUM,No,Female,Two year,Mailed check,19.2
0616-ATFGB,Yes,Male,Month-to-month,Electronic check,25.05
0617-AQNWT,Yes,Female,Two year,Electronic check,47.85
0617-FHSGK,Yes,Male,Month-to-month,Credit card (automatic),75.2
0618-XWMSS,Yes,Male,Month-to-month,Bank transfer (automatic),74.9
0619-OLYUR,No,Male,Two year,Credit card (automatic),111.9
0620-DLSLK,No,Female,Month-to-month,Mailed check,81.9
0620-XEFWH,No,Male,Month-to-month,Mailed check,18.85
0621-CXBKL,No,Female,Two year,Mailed check,18.7
0621-HJWXJ,No,Female,Month-to-month,Bank transfer (automatic),81.55
