flight_id,airline,aircraft_type,schengen,origin,arrival_time,departure_time,day,year,is_holiday,delay
2,BZ,Airbus A320,schengen,ZQO,19.19680388046527,22.19680388046527,3,2010,False,-7.3095283178220924
5,BZ,Airbus A320,schengen,ZQO,9.344097415620125,12.344097415620125,3,2010,False,-3.1598925602578984
13,BZ,Boeing 787,non-schengen,TCY,10.172730878911935,13.172730878911935,3,2010,False,-24.04286444768148
22,YE,Airbus A320,non-schengen,MWL,8.7941472735456,11.7941472735456,3,2010,False,13.049778258355623
14,BZ,Airbus A330,schengen,ZQO,7.708301215923195,11.708301215923196,3,2010,False,-7.801341053341956
10,YE,Airbus A320,non-schengen,TCY,8.93999569161395,11.93999569161395,3,2010,False,13.37668598009055
23,YE,Embraer E175,schengen,TCY,18.80123474516694,21.80123474516694,3,2010,False,-7.990657103575099
23,YE,Embraer E175,schengen,TCY,18.80123474516694,21.80123474516694,3,2010,False,21.743864687129072
23,YE,Embraer E175,schengen,TCY,18.80123474516694,21.80123474516694,3,2010,False,2.7729913348720814
11,BZ,Airbus A320,non-schengen,EMM,10.17719661140464,13.17719661140464,4,2010,False,-1.3046952200536026
6,YE,Boeing 787,schengen,AUZ,17.033687908193976,19.033687908193976,4,2010,False,31.152389263000856
21,BZ,Boeing 737,schengen,FJB,7.065593808091852,10.065593808091851,4,2010,False,16.959478968744705
23,YE,Embraer E175,schengen,TCY,18.80123474516694,21.80123474516694,4,2010,False,-1.5089210654700391
4,BZ,Airbus A330,schengen,TCY,11.781390776955043,14.781390776955043,4,2010,False,-20.550950311911983
19,MM,Airbus A320,schengen,TZF,16.245220157443473,19.245220157443473,4,2010,False,33.98024995554952
26,MM,Airbus A320,non-schengen,TCY,8.885071100621527,10.885071100621527,4,2010,False,33.43571661679956
26,MM,Airbus A320,non-schengen,TCY,8.885071100621527,10.885071100621527,4,2010,False,26.764231402738144
14,BZ,Airbus A330,schengen,ZQO,7.708301215923195,11.708301215923196,4,2010,False,-19.379015296166227
30,BZ,Embraer E175,schengen,PUA,8.923441263556974,12.923441263556974,4,2010,False,-9.934836050594676
24,BZ,Airbus A320,schengen,FJB,9.668654947672398,12.668654947672398,4,2010,False,5.187602390551513
20,YE,Boeing 787,schengen,MWL,16.90969025639159,18.90969025639159,4,2010,False,0.8465801363016521
30,BZ,Embraer E175,schengen,PUA,8.923441263556974,12.923441263556974,4,2010,False,-7.184518508844722
25,BZ,Boeing 777,non-schengen,CSF,19.3412354924849,23.3412354924849,4,2010,False,4.779907657942205
25,BZ,Boeing 777,non-schengen,CSF,19.3412354924849,23.3412354924849,4,2010,False,6.648118378926204
15,BZ,Airbus A330,non-schengen,FJB,16.571894330137862,19.571894330137862,5,2010,False,1.5438001971210777
19,MM,Airbus A320,schengen,TZF,16.245220157443473,19.245220157443473,5,2010,False,28.924768194221336
22,YE,Airbus A320,non-schengen,MWL,8.7941472735456,11.7941472735456,5,2010,False,21.679446623097768
7,MM,Boeing 787,schengen,TZF,8.56494944540815,13.56494944540815,5,2010,False,13.863900430808645
30,BZ,Embraer E175,schengen,PUA,8.923441263556974,12.923441263556974,5,2010,False,-15.029913256334456
16,MM,Airbus A320,non-schengen,CSF,17.04128127393899,20.04128127393899,5,2010,False,51.62726882463327
27,BZ,Airbus A320,schengen,AUZ,14.376052206287405,16.376052206287405,5,2010,False,-1.2985404003933017
27,BZ,Airbus A320,schengen,AUZ,14.376052206287405,16.376052206287405,5,2010,False,-15.295928967500874
11,BZ,Airbus A320,non-schengen,EMM,10.17719661140464,13.17719661140464,5,2010,False,3.3136142733707157
2,BZ,Airbus A320,schengen,ZQO,19.19680388046527,22.19680388046527,5,2010,False,-11.384712987515835
22,YE,Airbus A320,non-schengen,MWL,8.7941472735456,11.7941472735456,5,2010,False,15.00033160033365
23,YE,Embraer E175,schengen,TCY,18.80123474516694,21.80123474516694,5,2010,False,3.597777749329939
29,BZ,Boeing 737,schengen,ZQO,8.591207753622228,11.591207753622228,5,2010,False,-5.1670434949018045
9,BZ,Airbus A330,non-schengen,TZF,10.733469409310956,12.733469409310956,5,2010,False,-24.261380587508278
14,BZ,Airbus A330,schengen,ZQO,7.708301215923195,11.708301215923196,5,2010,False,-13.934824846187357
20,YE,Boeing 787,schengen,MWL,16.90969025639159,18.90969025639159,6,2010,False,31.177488928711256
11,BZ,Airbus A320,non-schengen,EMM,10.17719661140464,13.17719661140464,6,2010,False,8.240100955708883
26,MM,Airbus A320,non-schengen,TCY,8.885071100621527,10.885071100621527,6,2010,False,50.524965040425975
21,BZ,Boeing 737,schengen,FJB,7.065593808091852,10.065593808091851,6,2010,False,57.18487317052456
4,BZ,Airbus A330,schengen,TCY,11.781390776955043,14.781390776955043,6,2010,False,33.278219651626614
24,BZ,Airbus A320,schengen,FJB,9.668654947672398,12.668654947672398,6,2010,False,30.276021776838522
18,BZ,Airbus A320,schengen,TZF,14.258911084854821,20.258911084854823,6,2010,False,21.058220211345574
28,BZ,Airbus A330,non-schengen,EMM,15.967962746548036,17.967962746548036,6,2010,False,17.679834372782235
4,BZ,Airbus A330,schengen,TCY,11.781390776955043,14.781390776955043,6,2010,False,-10.620966362753876
7,MM,Boeing 787,schengen,TZF,8.56494944540815,13.56494944540815,6,2010,False,35.97576865430219
7,MM,Boeing 787,schengen,TZF,8.56494944540815,13.56494944540815,6,2010,False,50.51878261213211
28,BZ,Airbus A330,non-schengen,EMM,15.967962746548036,17.967962746548036,6,2010,False,2.8488348482401706
11,BZ,Airbus A320,non-schengen,EMM,10.17719661140464,13.17719661140464,6,2010,False,30.54597896424327
16,MM,Airbus A320,non-schengen,CSF,17.04128127393899,20.04128127393899,6,2010,False,70.50805977283163
25,BZ,Boeing 777,non-schengen,CSF,19.3412354924849,23.3412354924849,6,2010,False,44.23067132002625
16,MM,Airbus A320,non-schengen,CSF,17.04128127393899,20.04128127393899,7,2010,False,71.65148962794274
12,YE,Airbus A330,schengen,TZF,17.31373090386899,21.31373090386899,7,2010,False,28.788679692694274
15,BZ,Airbus A330,non-schengen,FJB,16.571894330137862,19.571894330137862,7,2010,False,5.8134278746453045
3,BZ,Embraer E175,schengen,TZF,18.63538375746072,22.63538375746072,7,2010,False,3.725018553859357
11,BZ,Airbus A320,non-schengen,EMM,10.17719661140464,13.17719661140464,7,2010,False,16.086667156459708
15,BZ,Airbus A330,non-schengen,FJB,16.571894330137862,19.571894330137862,7,2010,False,28.983863042759488
30,BZ,Embraer E175,schengen,PUA,8.923441263556974,12.923441263556974,7,2010,False,11.691416742413628
29,BZ,Boeing 737,schengen,ZQO,8.591207753622228,11.591207753622228,7,2010,False,22.782611352598167
5,BZ,Airbus A320,schengen,ZQO,9.344097415620125,12.344097415620125,7,2010,False,25.752165539400035
9,BZ,Airbus A330,non-schengen,TZF,10.733469409310956,12.733469409310956,7,2010,False,1.871659841420131
26,MM,Airbus A320,non-schengen,TCY,8.885071100621527,10.885071100621527,7,2010,False,48.693009313687604
29,BZ,Boeing 737,schengen,ZQO,8.591207753622228,11.591207753622228,7,2010,False,21.8537468494566
22,YE,Airbus A320,non-schengen,MWL,8.7941472735456,11.7941472735456,7,2010,False,56.60515112899801
2,BZ,Airbus A320,schengen,ZQO,19.19680388046527,22.19680388046527,7,2010,False,25.527318365761655
23,YE,Embraer E175,schengen,TCY,18.80123474516694,21.80123474516694,7,2010,False,40.48958262656682
26,MM,Airbus A320,non-schengen,TCY,8.885071100621527,10.885071100621527,8,2010,False,30.590826320800012
22,YE,Airbus A320,non-schengen,MWL,8.7941472735456,11.7941472735456,8,2010,False,31.24570302982991
14,BZ,Airbus A330,schengen,ZQO,7.708301215923195,11.708301215923196,8,2010,False,-16.227282033491562
14,BZ,Airbus A330,schengen,ZQO,7.708301215923195,11.708301215923196,8,2010,False,-21.228430919239685
18,BZ,Airbus A320,schengen,TZF,14.258911084854821,20.258911084854823,8,2010,False,-8.385501819276234
14,BZ,Airbus A330,schengen,ZQO,7.708301215923195,11.708301215923196,8,2010,False,-15.94072159414191
4,BZ,Airbus A330,schengen,TCY,11.781390776955043,14.781390776955043,8,2010,False,-22.869733628229405
1,BZ,Airbus A320,non-schengen,CNU,15.496518596772095,18.496518596772095,8,2010,False,4.286191889339799
4,BZ,Airbus A330,schengen,TCY,11.781390776955043,14.781390776955043,8,2010,False,-19.38836699682051
3,BZ,Embraer E175,schengen,TZF,18.63538375746072,22.63538375746072,8,2010,False,-27.2539568280915
2,BZ,Airbus A320,schengen,ZQO,19.19680388046527,22.19680388046527,8,2010,False,6.165591127473089
21,BZ,Boeing 737,schengen,FJB,7.065593808091852,10.065593808091851,8,2010,False,4.828907422764599
16,MM,Airbus A320,non-schengen,CSF,17.04128127393899,20.04128127393899,8,2010,False,42.52057943071266
30,BZ,Embraer E175,schengen,PUA,8.923441263556974,12.923441263556974,8,2010,False,-0.9997250150860779
10,YE,Airbus A320,non-schengen,TCY,8.93999569161395,11.93999569161395,8,2010,False,17.68867980850286
27,BZ,Airbus A320,schengen,AUZ,14.376052206287405,16.376052206287405,9,2010,False,-2.296885097563594
28,BZ,Airbus A330,non-schengen,EMM,15.967962746548036,17.967962746548036,9,2010,False,-22.043971141406786
4,BZ,Airbus A330,schengen,TCY,11.781390776955043,14.781390776955043,9,2010,False,-10.179069737924147
27,BZ,Airbus A320,schengen,AUZ,14.376052206287405,16.376052206287405,9,2010,False,2.8648932539668976
1,BZ,Airbus A320,non-schengen,CNU,15.496518596772095,18.496518596772095,9,2010,False,9.344759697259608
9,BZ,Airbus A330,non-schengen,TZF,10.733469409310956,12.733469409310956,9,2010,False,-17.69813112885798
21,BZ,Boeing 737,schengen,FJB,7.065593808091852,10.065593808091851,9,2010,False,9.959053895937785
24,BZ,Airbus A320,schengen,FJB,9.668654947672398,12.668654947672398,9,2010,False,3.5791684619702284
29,BZ,Boeing 737,schengen,ZQO,8.591207753622228,11.591207753622228,9,2010,False,7.153571614903787
15,BZ,Airbus A330,non-schengen,FJB,16.571894330137862,19.571894330137862,9,2010,False,3.7238658821084236
7,MM,Boeing 787,schengen,TZF,8.56494944540815,13.56494944540815,9,2010,False,15.247440392176355
26,MM,Airbus A320,non-schengen,TCY,8.885071100621527,10.885071100621527,9,2010,False,31.08610540961412
12,YE,Airbus A330,schengen,TZF,17.31373090386899,21.31373090386899,9,2010,False,10.742381831186695
14,BZ,Airbus A330,schengen,ZQO,7.708301215923195,11.708301215923196,9,2010,False,-12.285821334784957
27,BZ,Airbus A320,schengen,AUZ,14.376052206287405,16.376052206287405,9,2010,False,-5.654227010981433
22,YE,Airbus A320,non-schengen,MWL,8.7941472735456,11.7941472735456,10,2010,False,46.51698628436147
13,BZ,Boeing 787,non-schengen,TCY,10.172730878911935,13.172730878911935,10,2010,False,-23.911641338827515
30,BZ,Embraer E175,schengen,PUA,8.923441263556974,12.923441263556974,10,2010,False,-5.16058194987648
11,BZ,Airbus A320,non-schengen,EMM,10.17719661140464,13.17719661140464,10,2010,False,-4.414531401522961
29,BZ,Boeing 737,schengen,ZQO,8.591207753622228,11.591207753622228,10,2010,False,0.6356527268216721
13,BZ,Boeing 787,non-schengen,TCY,10.172730878911935,13.172730878911935,10,2010,False,-4.800364165251548
20,YE,Boeing 787,schengen,MWL,16.90969025639159,18.90969025639159,10,2010,False,17.79285912892744
29,BZ,Boeing 737,schengen,ZQO,8.591207753622228,11.591207753622228,10,2010,False,7.1257311169154445
12,YE,Airbus A330,schengen,TZF,17.31373090386899,21.31373090386899,10,2010,False,-2.215310254110511
8,BZ,Airbus A320,schengen,ZQO,15.72961711887716,18.729617118877158,10,2010,False,0.27516321448661385
4,BZ,Airbus A330,schengen,TCY,11.781390776955043,14.781390776955043,10,2010,False,-20.970190152647106
2,BZ,Airbus A320,schengen,ZQO,19.19680388046527,22.19680388046527,10,2010,False,3.901473053490676
13,BZ,Boeing 787,non-schengen,TCY,10.172730878911935,13.172730878911935,10,2010,False,-22.124438273490377
5,BZ,Airbus A320,schengen,ZQO,9.344097415620125,12.344097415620125,10,2010,False,0.09456831960403372
5,BZ,Airbus A320,schengen,ZQO,9.344097415620125,12.344097415620125,10,2010,False,-0.9625952164465943
7,MM,Boeing 787,schengen,TZF,8.56494944540815,13.56494944540815,11,2010,False,18.101904474849718
17,BZ,Airbus A330,non-schengen,CNU,16.718722029493286,21.718722029493286,11,2010,False,-1.0780483381381387
26,MM,Airbus A320,non-schengen,TCY,8.885071100621527,10.885071100621527,11,2010,False,35.53932839124906
18,BZ,Airbus A320,schengen,TZF,14.258911084854821,20.258911084854823,11,2010,False,-4.485130199467662
13,BZ,Boeing 787,non-schengen,TCY,10.172730878911935,13.172730878911935,11,2010,False,-24.799450624127925
14,BZ,Airbus A330,schengen,ZQO,7.708301215923195,11.708301215923196,11,2010,False,-23.82352126385511
26,MM,Airbus A320,non-schengen,TCY,8.885071100621527,10.885071100621527,11,2010,False,36.193281174268186
3,BZ,Embraer E175,schengen,TZF,18.63538375746072,22.63538375746072,11,2010,False,-23.00740776696935
28,BZ,Airbus A330,non-schengen,EMM,15.967962746548036,17.967962746548036,11,2010,False,-21.114084965537756
24,BZ,Airbus A320,schengen,FJB,9.668654947672398,12.668654947672398,11,2010,False,14.66916788060062
27,BZ,Airbus A320,schengen,AUZ,14.376052206287405,16.376052206287405,11,2010,False,-8.167739286565332
30,BZ,Embraer E175,schengen,PUA,8.923441263556974,12.923441263556974,11,2010,False,3.1558063144620156
21,BZ,Boeing 737,schengen,FJB,7.065593808091852,10.065593808091851,11,2010,False,14.554196363297939
24,BZ,Airbus A320,schengen,FJB,9.668654947672398,12.668654947672398,11,2010,False,4.025420901483989
4,BZ,Airbus A330,schengen,TCY,11.781390776955043,14.781390776955043,11,2010,False,-22.982807038166523
6,YE,Boeing 787,schengen,AUZ,17.033687908193976,19.033687908193976,12,2010,False,-4.405922996007338
21,BZ,Boeing 737,schengen,FJB,7.065593808091852,10.065593808091851,12,2010,False,3.1641838051006737
27,BZ,Airbus A320,schengen,AUZ,14.376052206287405,16.376052206287405,12,2010,False,-13.24836152054326
18,BZ,Airbus A320,schengen,TZF,14.258911084854821,20.258911084854823,12,2010,False,-19.705997001055525
7,MM,Boeing 787,schengen,TZF,8.56494944540815,13.56494944540815,12,2010,False,18.231512965095718
26,MM,Airbus A320,non-schengen,TCY,8.885071100621527,10.885071100621527,12,2010,False,25.514989234852436
24,BZ,Airbus A320,schengen,FJB,9.668654947672398,12.668654947672398,12,2010,False,-1.6553997995148109
7,MM,Boeing 787,schengen,TZF,8.56494944540815,13.56494944540815,12,2010,False,12.721374908285833
3,BZ,Embraer E175,schengen,TZF,18.63538375746072,22.63538375746072,12,2010,False,-22.498675186886373
1,BZ,Airbus A320,non-schengen,CNU,15.496518596772095,18.496518596772095,12,2010,False,17.055114844548637
5,BZ,Airbus A320,schengen,ZQO,9.344097415620125,12.344097415620125,12,2010,False,1.3878976875483742
19,MM,Airbus A320,schengen,TZF,16.245220157443473,19.245220157443473,12,2010,False,28.88128596616228
18,BZ,Airbus A320,schengen,TZF,14.258911084854821,20.258911084854823,12,2010,False,-11.64202226910168
21,BZ,Boeing 737,schengen,FJB,7.065593808091852,10.065593808091851,12,2010,False,14.961788774265369
11,BZ,Airbus A320,non-schengen,EMM,10.17719661140464,13.17719661140464,12,2010,False,0.9846781388865615
17,BZ,Airbus A330,non-schengen,CNU,16.718722029493286,21.718722029493286,13,2010,False,29.037790346569487
9,BZ,Airbus A330,non-schengen,TZF,10.733469409310956,12.733469409310956,13,2010,False,0.6485622141945608
13,BZ,Boeing 787,non-schengen,TCY,10.172730878911935,13.172730878911935,13,2010,False,-1.345732864469836
10,YE,Airbus A320,non-schengen,TCY,8.93999569161395,11.93999569161395,13,2010,False,45.71179197092644
7,MM,Boeing 787,schengen,TZF,8.56494944540815,13.56494944540815,13,2010,False,37.66727443309706
6,YE,Boeing 787,schengen,AUZ,17.033687908193976,19.033687908193976,13,2010,False,21.800854929953914
11,BZ,Airbus A320,non-schengen,EMM,10.17719661140464,13.17719661140464,13,2010,False,35.61459516745764
2,BZ,Airbus A320,schengen,ZQO,19.19680388046527,22.19680388046527,13,2010,False,20.477238061621758
20,YE,Boeing 787,schengen,MWL,16.90969025639159,18.90969025639159,13,2010,False,30.51331621402423
5,BZ,Airbus A320,schengen,ZQO,9.344097415620125,12.344097415620125,13,2010,False,5.555459635647194
17,BZ,Airbus A330,non-schengen,CNU,16.718722029493286,21.718722029493286,13,2010,False,12.435553355503572
18,BZ,Airbus A320,schengen,TZF,14.258911084854821,20.258911084854823,13,2010,False,17.725053957578023
11,BZ,Airbus A320,non-schengen,EMM,10.17719661140464,13.17719661140464,13,2010,False,20.658392746828
19,MM,Airbus A320,schengen,TZF,16.245220157443473,19.245220157443473,13,2010,False,56.175959699447326
21,BZ,Boeing 737,schengen,FJB,7.065593808091852,10.065593808091851,13,2010,False,42.02187960975849
28,BZ,Airbus A330,non-schengen,EMM,15.967962746548036,17.967962746548036,14,2010,False,23.764911637859363
22,YE,Airbus A320,non-schengen,MWL,8.7941472735456,11.7941472735456,14,2010,False,41.26698146611314
17,BZ,Airbus A330,non-schengen,CNU,16.718722029493286,21.718722029493286,14,2010,False,6.135158363392697
2,BZ,Airbus A320,schengen,ZQO,19.19680388046527,22.19680388046527,14,2010,False,25.789704864849828
4,BZ,Airbus A330,schengen,TCY,11.781390776955043,14.781390776955043,14,2010,False,10.043998975821834
9,BZ,Airbus A330,non-schengen,TZF,10.733469409310956,12.733469409310956,14,2010,False,2.1867526689877144
20,YE,Boeing 787,schengen,MWL,16.90969025639159,18.90969025639159,14,2010,False,45.37111132082152
20,YE,Boeing 787,schengen,MWL,16.90969025639159,18.90969025639159,14,2010,False,28.01026600426277
2,BZ,Airbus A320,schengen,ZQO,19.19680388046527,22.19680388046527,14,2010,False,26.469721448737282
4,BZ,Airbus A330,schengen,TCY,11.781390776955043,14.781390776955043,14,2010,False,-13.62171915983754
22,YE,Airbus A320,non-schengen,MWL,8.7941472735456,11.7941472735456,14,2010,False,72.2170588077759
8,BZ,Airbus A320,schengen,ZQO,15.72961711887716,18.729617118877158,14,2010,False,8.541733248829384
8,BZ,Airbus A320,schengen,ZQO,15.72961711887716,18.729617118877158,14,2010,False,25.05149887823005
20,YE,Boeing 787,schengen,MWL,16.90969025639159,18.90969025639159,14,2010,False,14.064563014750249
19,MM,Airbus A320,schengen,TZF,16.245220157443473,19.245220157443473,14,2010,False,44.057242590013345
11,BZ,Airbus A320,non-schengen,EMM,10.17719661140464,13.17719661140464,15,2010,False,-0.10909528036526162
28,BZ,Airbus A330,non-schengen,EMM,15.967962746548036,17.967962746548036,15,2010,False,-19.929779444849917
19,MM,Airbus A320,schengen,TZF,16.245220157443473,19.245220157443473,15,2010,False,32.616000182239624
3,BZ,Embraer E175,schengen,TZF,18.63538375746072,22.63538375746072,15,2010,False,-24.846584362993333
4,BZ,Airbus A330,schengen,TCY,11.781390776955043,14.781390776955043,15,2010,False,-20.792597450208692
2,BZ,Airbus A320,schengen,ZQO,19.19680388046527,22.19680388046527,15,2010,False,-6.4222046554515675
12,YE,Airbus A330,schengen,TZF,17.31373090386899,21.31373090386899,15,2010,False,28.778420475239557
27,BZ,Airbus A320,schengen,AUZ,14.376052206287405,16.376052206287405,15,2010,False,-8.740861188437634
16,MM,Airbus A320,non-schengen,CSF,17.04128127393899,20.04128127393899,15,2010,False,50.28554602747343
17,BZ,Airbus A330,non-schengen,CNU,16.718722029493286,21.718722029493286,15,2010,False,-4.1147130609395965
19,MM,Airbus A320,schengen,TZF,16.245220157443473,19.245220157443473,15,2010,False,29.853223903456644
11,BZ,Airbus A320,non-schengen,EMM,10.17719661140464,13.17719661140464,15,2010,False,-5.740600624545323
30,BZ,Embraer E175,schengen,PUA,8.923441263556974,12.923441263556974,15,2010,False,-10.451441591739687
9,BZ,Airbus A330,non-schengen,TZF,10.733469409310956,12.733469409310956,15,2010,False,-18.494522926364496
21,BZ,Boeing 737,schengen,FJB,7.065593808091852,10.065593808091851,15,2010,False,23.786570341666902
22,YE,Airbus A320,non-schengen,MWL,8.7941472735456,11.7941472735456,16,2010,False,11.88853060588464
9,BZ,Airbus A330,non-schengen,TZF,10.733469409310956,12.733469409310956,16,2010,False,-22.932766383252535
17,BZ,Airbus A330,non-schengen,CNU,16.718722029493286,21.718722029493286,16,2010,False,-8.488994218570847
30,BZ,Embraer E175,schengen,PUA,8.923441263556974,12.923441263556974,16,2010,False,-9.270360863177224
5,BZ,Airbus A320,schengen,ZQO,9.344097415620125,12.344097415620125,16,2010,False,2.680242699219009
30,BZ,Embraer E175,schengen,PUA,8.923441263556974,12.923441263556974,16,2010,False,-4.656989652693525
25,BZ,Boeing 777,non-schengen,CSF,19.3412354924849,23.3412354924849,16,2010,False,6.432093166525009
30,BZ,Embraer E175,schengen,PUA,8.923441263556974,12.923441263556974,16,2010,False,-15.748484718191207
23,YE,Embraer E175,schengen,TCY,18.80123474516694,21.80123474516694,16,2010,False,20.59728991833898
20,YE,Boeing 787,schengen,MWL,16.90969025639159,18.90969025639159,16,2010,False,-1.2532934682060901
2,BZ,Airbus A320,schengen,ZQO,19.19680388046527,22.19680388046527,16,2010,False,-1.9091508371240176
15,BZ,Airbus A330,non-schengen,FJB,16.571894330137862,19.571894330137862,16,2010,False,-9.074444069518124
17,BZ,Airbus A330,non-schengen,CNU,16.718722029493286,21.718722029493286,16,2010,False,-0.9812460118813231
16,MM,Airbus A320,non-schengen,CSF,17.04128127393899,20.04128127393899,16,2010,False,49.41554117666556
4,BZ,Airbus A330,schengen,TCY,11.781390776955043,14.781390776955043,16,2010,False,-25.337697494908948
26,MM,Airbus A320,non-schengen,TCY,8.885071100621527,10.885071100621527,17,2010,False,26.1591601606465
30,BZ,Embraer E175,schengen,PUA,8.923441263556974,12.923441263556974,17,2010,False,-13.070288528590538
3,BZ,Embraer E175,schengen,TZF,18.63538375746072,22.63538375746072,17,2010,False,-19.573060173681533
8,BZ,Airbus A320,schengen,ZQO,15.72961711887716,18.729617118877158,17,2010,False,-6.861762801116473
25,BZ,Boeing 777,non-schengen,CSF,19.3412354924849,23.3412354924849,17,2010,False,13.221085888022866
23,YE,Embraer E175,schengen,TCY,18.80123474516694,21.80123474516694,17,2010,False,-2.8431400062276353
